empty	年-	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
	2020/11/4	0-3	2	5	7	2	5	7	4.17
	2020/11/4	0-8	2	5	7	2	5	7	4.17
	2020/11/4	0-14	2	5	5	2	5	5	4.17
	2020/11/4	0-19	2	5	7	2	5	7	4.17
	2020/11/4	0-25	2	5	5	2	5	5	4.17
	2020/11/4	0-30	4	5	5	4	5	5	4.17
	2020/11/4	0-36	2	4	7	2	4	7	4.17
	2020/11/4	0-41	4	7	10	4	7	10	4.17
	2020/11/4	0-47	2	5	5	2	5	5	4.17
	2020/11/4	0-52	4	7	7	4	7	7	4.17
	2020/11/4	0-58	2	5	5	2	5	5	4.17
	2020/11/4	1-3	2	5	5	2	5	5	4.17
	2020/11/4	1-9	4	7	7	4	7	7	4.16
	2020/11/4	1-14	4	7	7	4	7	7	4.16
	2020/11/4	1-20	4	8	8	4	8	8	4.16
	2020/11/4	1-25	5	7	8	5	7	8	4.16
	2020/11/4	1-31	4	8	10	4	8	10	4.16
	2020/11/4	1-36	5	8	8	5	8	8	4.16
	2020/11/4	1-42	4	7	7	4	7	7	4.16
	2020/11/4	1-47	4	5	7	4	5	7	4.16
	2020/11/4	1-53	2	7	7	2	7	7	4.16
	2020/11/4	1-58	4	5	5	4	5	5	4.16
	2020/11/4	2-4	4	5	5	4	5	5	4.16
	2020/11/4	2-9	4	7	7	4	7	7	4.16
	2020/11/4	2-15	4	7	7	4	7	7	4.16
	2020/11/4	2-20	2	5	7	2	5	7	4.16
	2020/11/4	2-26	5	8	10	5	8	10	4.16
	2020/11/4	2-31	4	5	7	4	5	7	4.16
	2020/11/4	2-37	4	7	7	4	7	7	4.16
	2020/11/4	2-42	2	5	5	2	5	5	4.16
	2020/11/4	2-48	4	5	7	4	5	7	4.16
	2020/11/4	2-53	2	5	5	2	5	5	4.16
	2020/11/4	2-59	4	7	7	4	7	7	4.16
	2020/11/4	3-4	2	5	5	2	5	5	4.16
	2020/11/4	3-10	4	8	8	4	8	8	4.16
	2020/11/4	3-15	4	8	10	4	8	10	4.16
	2020/11/4	3-21	4	7	7	4	7	7	4.16
	2020/11/4	3-27	4	5	5	4	5	5	4.16
	2020/11/4	3-32	4	7	7	4	7	7	4.16
	2020/11/4	3-38	4	5	7	4	5	7	4.16
	2020/11/4	3-43	2	7	7	2	7	7	4.16
	2020/11/4	3-49	4	5	5	4	5	5	4.16
	2020/11/4	3-54	4	7	8	4	7	8	4.16
	2020/11/4	4-0	4	7	7	4	7	7	4.16
	2020/11/4	4-5	4	5	8	4	5	8	4.16
	2020/11/4	4-11	7	10	11	7	10	11	4.16
	2020/11/4	4-16	5	8	8	5	8	8	4.16
	2020/11/4	4-22	2	7	10	2	7	10	4.16
	2020/11/4	4-27	4	5	5	4	5	5	4.16
	2020/11/4	4-33	4	7	7	4	7	7	4.16
	2020/11/4	4-38	4	7	8	4	7	8	4.16
	2020/11/4	4-44	4	8	8	4	8	8	4.16
	2020/11/4	4-49	4	5	5	4	5	5	4.16
	2020/11/4	4-55	4	7	8	4	7	8	4.16
	2020/11/4	5-0	4	7	7	4	7	7	4.16
	2020/11/4	5-6	4	7	8	4	7	8	4.16
	2020/11/4	5-11	4	7	8	4	7	8	4.16
	2020/11/4	5-17	4	7	7	4	7	7	4.16
	2020/11/4	5-22	5	8	8	5	8	8	4.16
	2020/11/4	5-28	4	7	7	4	7	7	4.16
	2020/11/4	5-33	5	8	10	5	8	10	4.16
	2020/11/4	5-39	4	5	5	4	5	5	4.16
	2020/11/4	5-44	4	7	7	4	7	7	4.16
	2020/11/4	5-50	5	7	8	5	7	8	4.16
	2020/11/4	5-55	4	8	8	4	8	8	4.16
	2020/11/4	6-1	5	8	10	5	8	10	4.16
	2020/11/4	6-6	5	10	12	5	10	12	4.16
	2020/11/4	6-12	5	8	8	5	8	8	4.16
	2020/11/4	6-17	5	10	11	5	10	11	4.16
	2020/11/4	6-23	5	7	7	5	7	7	4.16
	2020/11/4	6-28	5	7	7	5	7	7	4.16
	2020/11/4	6-34	7	11	11	7	11	11	4.16
	2020/11/4	6-39	5	8	8	5	8	8	4.16
	2020/11/4	6-45	5	10	12	5	10	12	4.16
	2020/11/4	6-50	7	10	11	7	10	11	4.16
	2020/11/4	6-56	7	8	10	7	8	10	4.16
	2020/11/4	7-1	5	10	12	5	10	12	4.16
	2020/11/4	7-7	8	11	11	8	11	11	4.16
	2020/11/4	7-12	7	12	12	7	12	12	4.16
	2020/11/4	7-18	7	11	14	7	11	14	4.16
	2020/11/4	7-23	8	12	12	8	12	12	4.16
	2020/11/4	7-29	8	11	14	8	11	14	4.16
	2020/11/4	7-34	8	12	14	8	12	14	4.16
	2020/11/4	7-40	8	13	13	8	13	13	4.16
	2020/11/4	7-45	7	10	10	7	10	10	4.16
