数据排序	年-	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
0	2020/11/4	1-32	4	8	9	4	8	9	4.19
1	2020/11/4	1-37	4	10	10	4	10	10	4.17
2	2020/11/4	1-43	3	8	10	3	8	10	4.17
3	2020/11/4	1-48	4	9	10	4	9	10	4.17
4	2020/11/4	1-54	3	9	9	3	9	9	4.17
5	2020/11/4	1-59	4	9	10	4	9	10	4.16
6	2020/11/4	2-5	4	9	9	4	9	9	4.15
7	2020/11/4	2-11	4	9	10	4	9	10	4.15
8	2020/11/4	2-16	4	7	7	4	7	7	4.15
9	2020/11/4	2-22	6	11	11	6	11	11	4.15
10	2020/11/4	2-27	5	10	12	5	10	12	4.15
11	2020/11/4	2-33	5	9	10	5	9	10	4.15
12	2020/11/4	2-38	5	10	11	5	10	11	4.15
13	2020/11/4	2-44	5	9	12	5	9	12	4.15
14	2020/11/4	2-49	5	10	10	5	10	10	4.15
15	2020/11/4	2-55	4	6	7	4	6	7	4.15
16	2020/11/4	3-0	5	9	9	5	9	9	4.15
17	2020/11/4	3-6	4	9	9	4	9	9	4.15
18	2020/11/4	3-11	4	9	9	4	9	9	4.15
19	2020/11/4	3-17	5	10	10	5	10	10	4.15
20	2020/11/4	3-22	4	9	10	4	9	10	4.15
21	2020/11/4	3-28	3	7	7	3	7	7	4.15
22	2020/11/4	3-33	4	7	10	4	7	10	4.15
23	2020/11/4	3-39	3	6	6	3	6	6	4.15
24	2020/11/4	3-44	4	10	11	4	10	11	4.15
25	2020/11/4	3-50	4	7	9	4	7	9	4.15
26	2020/11/4	3-55	4	9	11	4	9	11	4.15
27	2020/11/4	4-1	5	7	7	5	7	7	4.15
28	2020/11/4	4-6	4	9	10	4	9	10	4.15
29	2020/11/4	4-12	4	7	7	4	7	7	4.15
30	2020/11/4	4-17	5	9	10	5	9	10	4.15
31	2020/11/4	4-23	4	7	7	4	7	7	4.15
32	2020/11/4	4-28	4	10	10	4	10	10	4.15
33	2020/11/4	4-34	4	7	10	4	7	10	4.15
34	2020/11/4	4-39	4	9	9	4	9	9	4.15
35	2020/11/4	4-45	3	9	11	3	9	11	4.15
36	2020/11/4	4-50	3	7	7	3	7	7	4.15
37	2020/11/4	4-56	4	7	7	4	7	7	4.15
38	2020/11/4	5-1	4	9	9	4	9	9	4.15
39	2020/11/4	5-7	5	7	9	5	7	9	4.15
40	2020/11/4	5-12	2	7	7	2	7	7	4.15
41	2020/11/4	5-18	4	7	7	4	7	7	4.15
42	2020/11/4	5-23	4	9	9	4	9	9	4.15
43	2020/11/4	5-29	4	7	10	4	7	10	4.15
44	2020/11/4	5-34	4	9	9	4	9	9	4.15
45	2020/11/4	5-40	4	7	10	4	7	10	4.15
46	2020/11/4	5-45	5	7	7	5	7	7	4.15
47	2020/11/4	5-51	4	9	9	4	9	9	4.15
48	2020/11/4	5-56	5	7	7	5	7	7	4.15
49	2020/11/4	6-2	4	9	10	4	9	10	4.15
50	2020/11/4	6-7	5	9	10	5	9	10	4.15
51	2020/11/4	6-13	5	10	13	5	10	13	4.15
52	2020/11/4	6-18	4	7	7	4	7	7	4.15
53	2020/11/4	6-24	4	8	8	4	8	8	4.15
54	2020/11/4	6-29	4	9	12	4	9	12	4.15
55	2020/11/4	6-35	4	9	9	4	9	9	4.15
56	2020/11/4	6-40	5	9	9	5	9	9	4.15
57	2020/11/4	6-46	5	8	10	5	8	10	4.15
58	2020/11/4	6-51	4	8	8	4	8	8	4.15
59	2020/11/4	6-57	4	8	9	4	8	9	4.15
60	2020/11/4	7-2	5	8	8	5	8	8	4.15
61	2020/11/4	7-8	4	8	8	4	8	8	4.15
62	2020/11/4	7-13	5	9	9	5	9	9	4.15
63	2020/11/4	7-19	5	8	8	5	8	8	4.15
64	2020/11/4	7-24	5	9	9	5	9	9	4.15
65	2020/11/4	7-30	4	9	10	4	9	10	4.15
66	2020/11/4	7-35	5	8	8	5	8	8	4.15
67	2020/11/4	7-41	4	8	9	4	8	9	4.15
68	2020/11/4	7-46	6	10	10	6	10	10	4.15
69	2020/11/4	7-52	6	10	10	6	10	10	4.15
70	2020/11/4	7-57	4	9	9	4	9	9	4.15
71	2020/11/4	8-3	4	8	8	4	8	8	4.15
72	2020/11/4	8-8	5	9	11	5	9	11	4.15
73	2020/11/4	8-14	5	10	11	5	10	11	4.15
74	2020/11/4	8-19	5	9	9	5	9	9	4.15
75	2020/11/4	8-25	4	8	9	4	8	9	4.15
76	2020/11/4	8-30	6	10	10	6	10	10	4.15
77	2020/11/4	8-36	5	9	10	5	9	10	4.15
78	2020/11/4	8-41	6	10	10	6	10	10	4.15
79	2020/11/4	8-47	5	9	10	5	9	10	4.15
80	2020/11/4	8-52	8	12	12	8	12	12	4.15
81	2020/11/4	8-58	5	10	11	5	10	11	4.15
82	2020/11/4	9-3	6	11	12	6	11	12	4.15
83	2020/11/4	9-9	6	12	16	6	12	16	4.15
84	2020/11/4	9-14	15	21	21	15	21	21	4.12
85	2020/11/4	9-20	11	17	20	11	17	20	4.12
86	2020/11/4	9-25	13	18	21	13	18	21	4.12
87	2020/11/4	9-28	11	16	16	11	16	16	4.2
88	2020/11/4	9-33	20	27	30	20	27	30	4.23
89	2020/11/4	9-39	21	27	28	21	27	28	4.13
90	2020/11/4	9-44	10	17	20	10	17	20	4.13
91	2020/11/4	9-50	8	14	15	8	14	15	4.13
92	2020/11/4	9-55	8	12	15	8	12	15	4.13
93	2020/11/4	10-1	5	9	10	5	9	10	4.12
94	2020/11/4	10-6	7	11	12	7	11	12	4.13
95	2020/11/4	10-12	5	10	11	5	10	11	4.12
96	2020/11/4	10-17	5	9	9	5	9	9	4.11
97	2020/11/4	10-23	6	11	12	6	11	12	4.12
98	2020/11/4	10-28	8	12	13	8	12	13	4.12
99	2020/11/4	10-32	10	17	17	10	17	17	4.17
100	2020/11/4	10-38	9	15	15	9	15	15	4.17
101	2020/11/4	10-43	9	15	17	9	15	17	4.17
102	2020/11/4	10-49	10	16	19	10	16	19	4.17
103	2020/11/4	10-54	9	14	16	9	14	16	4.15
104	2020/11/4	11-0	9	14	16	9	14	16	4.15
105	2020/11/4	11-5	13	18	19	13	18	19	4.13
106	2020/11/4	11-11	10	15	19	10	15	19	4.12
107	2020/11/4	11-16	11	15	16	11	15	16	4.13
108	2020/11/4	11-22	8	14	16	8	14	16	4.13
109	2020/11/4	11-27	9	14	14	9	14	14	4.1
110	2020/11/4	11-33	7	13	14	7	13	14	4.12
111	2020/11/4	11-39	7	12	13	7	12	13	4.12
112	2020/11/4	11-44	5	11	11	5	11	11	4.12
113	2020/11/4	11-50	6	10	12	6	10	12	4.12
114	2020/11/4	11-55	3	6	6	3	6	6	4.11
115	2020/11/4	12-1	5	7	7	5	7	7	4.13
116	2020/11/4	12-6	5	9	9	5	9	9	4.12
117	2020/11/4	12-12	4	6	7	4	6	7	4.11
118	2020/11/4	12-17	3	6	6	3	6	6	4.12
119	2020/11/4	12-23	4	9	10	4	9	10	4.11
120	2020/11/4	12-28	4	8	9	4	8	9	4.11
121	2020/11/4	12-34	5	10	11	5	10	11	4.1
122	2020/11/4	12-39	5	9	9	5	9	9	4.11
123	2020/11/4	12-45	3	6	8	3	6	8	4.11
124	2020/11/4	12-50	4	10	11	4	10	11	4.11
125	2020/11/4	12-56	2	5	5	2	5	5	4.11
126	2020/11/4	1-13	3	6	6	3	6	6	4.1
127	2020/11/4	7-13	4	6	6	4	6	6	4.1
128	2020/11/4	13-13	5	10	10	5	10	10	4.11
129	2020/11/4	13-18	5	10	10	5	10	10	4.1
130	2020/11/4	13-24	5	10	10	5	10	10	4.1
131	2020/11/4	13-29	5	9	10	5	9	10	4.1
132	2020/11/4	13-35	8	10	11	8	10	11	4.11
133	2020/11/4	13-40	11	16	17	11	16	17	4.1
134	2020/11/4	13-46	10	13	13	10	13	13	4.1
135	2020/11/4	13-51	11	16	16	11	16	16	4.1
136	2020/11/4	13-57	10	15	17	10	15	17	4.07
137	2020/11/4	2-14	12	16	18	12	16	18	4.1
138	2020/11/4	8-14	10	15	15	10	15	15	4.1
139	2020/11/4	14-13	10	15	16	10	15	16	4.1
140	2020/11/4	14-19	10	16	16	10	16	16	4.09
141	2020/11/4	14-24	10	15	15	10	15	15	4.09
142	2020/11/4	14-30	10	16	16	10	16	16	4.09
143	2020/11/4	14-35	34	39	40	30	36	40	4.09
144	2020/11/4	14-41	9	16	16	9	16	16	4.09
145	2020/11/4	14-47	5	10	10	5	10	10	4.09
146	2020/11/4	14-52	8	10	11	8	10	11	4.09
147	2020/11/4	14-58	7	11	12	7	11	12	4.08
148	2020/11/4	3-15	7	11	11	7	11	11	4.1
149	2020/11/4	9-15	5	10	10	5	10	10	4.08
150	2020/11/4	15-14	5	11	14	5	11	14	4.08
151	2020/11/4	15-20	8	14	14	8	14	14	4.08
152	2020/11/4	15-25	7	11	15	7	11	15	4.08
153	2020/11/4	15-31	21	25	27	21	25	27	4.08
154	2020/11/4	15-36	8	12	18	8	12	18	4.09
155	2020/11/4	15-42	16	22	22	16	22	22	4.09
156	2020/11/4	15-47	12	17	19	12	17	19	4.08
157	2020/11/4	15-53	9	15	16	9	15	16	4.08
158	2020/11/4	15-58	15	19	19	15	19	19	4.08
159	2020/11/4	4-16	12	17	19	12	17	19	4.08
160	2020/11/4	9-16	13	18	19	13	18	19	4.08
161	2020/11/4	16-15	24	30	30	23	30	30	4.07
162	2020/11/4	16-21	55	61	61	38	49	57	4.07
163	2020/11/4	16-22	17	23	23	17	23	23	4.16
164	2020/11/4	16-27	16	24	24	16	24	24	4.16
165	2020/11/4	16-33	12	20	22	12	20	22	4.16
166	2020/11/4	16-38	17	23	25	17	23	25	4.16
167	2020/11/4	16-44	22	28	31	22	28	31	4.16
168	2020/11/4	16-49	10	16	17	10	16	17	4.16
169	2020/11/4	16-55	9	17	19	9	17	19	4.16
170	2020/11/4	17-0	12	17	18	12	17	18	4.17
171	2020/11/4	6-17	22	29	31	22	29	31	4.17
172	2020/11/4	11-17	24	30	30	23	30	30	4.17
173	2020/11/4	17-17	21	25	28	21	25	28	4.17
174	2020/11/4	17-22	20	23	23	20	23	23	4.17
175	2020/11/4	17-28	25	30	31	24	30	31	4.16
176	2020/11/4	17-33	18	23	23	18	23	23	4.15
177	2020/11/4	17-39	13	17	18	13	17	18	4.15
178	2020/11/4	17-44	15	19	22	15	19	22	4.15
179	2020/11/4	17-50	13	18	19	13	18	19	4.15
180	2020/11/4	17-55	14	19	20	14	19	20	4.15
181	2020/11/4	1-18	14	20	23	14	20	23	4.15
182	2020/11/4	6-18	13	17	17	13	17	17	4.15
183	2020/11/4	12-18	13	17	19	13	17	19	4.15
184	2020/11/4	18-17	13	17	18	13	17	18	4.15
185	2020/11/4	18-23	9	15	15	9	15	15	4.15
186	2020/11/4	18-28	8	14	14	8	14	14	4.15
187	2020/11/4	18-34	9	14	15	9	14	15	4.15
188	2020/11/4	18-39	7	13	15	7	13	15	4.15
189	2020/11/4	18-45	8	14	14	8	14	14	4.15
190	2020/11/4	18-50	14	20	22	14	20	22	4.15
191	2020/11/4	18-56	11	16	16	11	16	16	4.15
192	2020/11/4	1-19	11	15	15	11	15	15	4.15
193	2020/11/4	7-19	12	17	17	12	17	17	4.15
194	2020/11/4	12-19	13	18	20	13	18	20	4.15
195	2020/11/4	19-18	13	17	17	13	17	17	4.15
196	2020/11/4	19-23	13	17	20	13	17	20	4.15
197	2020/11/4	19-29	12	16	16	12	16	16	4.15
198	2020/11/4	19-34	12	15	15	12	15	15	4.15
199	2020/11/4	19-40	13	17	18	13	17	18	4.15
200	2020/11/4	19-45	11	15	15	11	15	15	4.15
201	2020/11/4	19-51	7	12	12	7	12	12	4.15
202	2020/11/4	19-56	6	8	9	6	8	9	4.15
203	2020/11/4	2-20	8	13	13	8	13	13	4.15
204	2020/11/4	7-20	8	12	13	8	12	13	4.15
205	2020/11/4	20-13	7	12	14	7	12	14	4.15
206	2020/11/4	20-18	8	12	13	8	12	13	4.15
207	2020/11/4	20-24	6	12	13	6	12	13	4.15
208	2020/11/4	20-29	5	8	13	5	8	13	4.15
209	2020/11/4	20-35	5	8	11	5	8	11	4.15
210	2020/11/4	20-40	6	9	9	6	9	9	4.15
