数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
1	2020/11/4	0-4	3	6	7	3	6	7	4.16
2	2020/11/4	0-9	3	6	7	3	6	7	4.16
3	2020/11/4	0-15	4	6	6	4	6	6	4.16
4	2020/11/4	0-21	4	5	5	4	5	5	4.16
5	2020/11/4	0-26	2	6	8	2	6	8	4.16
6	2020/11/4	0-32	4	6	9	4	6	9	4.16
7	2020/11/4	0-37	4	6	6	4	6	6	4.16
8	2020/11/4	0-43	4	8	9	4	8	9	4.16
9	2020/11/4	0-48	3	6	6	3	6	6	4.16
10	2020/11/4	0-54	4	8	8	4	8	8	4.16
11	2020/11/4	0-59	4	8	9	4	8	9	4.16
12	2020/11/4	1-5	4	8	9	4	8	9	4.16
13	2020/11/4	1-10	6	10	10	6	10	10	4.16
14	2020/11/4	1-16	8	13	16	8	13	16	4.16
15	2020/11/4	1-21	9	14	17	9	14	17	4.16
16	2020/11/4	1-27	10	18	19	10	18	19	4.16
17	2020/11/4	1-32	8	13	17	8	13	17	4.16
18	2020/11/4	1-38	8	12	14	8	12	14	4.16
19	2020/11/4	1-43	6	12	13	6	12	13	4.16
20	2020/11/4	1-49	5	7	9	5	7	9	4.16
21	2020/11/4	1-54	4	8	8	4	8	8	4.16
22	2020/11/4	2-0	4	10	12	4	10	12	4.16
23	2020/11/4	2-5	5	9	9	5	9	9	4.16
24	2020/11/4	2-11	4	8	9	4	8	9	4.16
25	2020/11/4	2-16	4	8	9	4	8	9	4.16
26	2020/11/4	2-22	4	8	9	4	8	9	4.16
27	2020/11/4	2-27	5	8	10	5	8	10	4.16
28	2020/11/4	2-33	4	8	12	4	8	12	4.16
29	2020/11/4	2-38	4	8	8	4	8	8	4.16
30	2020/11/4	2-44	5	9	10	5	9	10	4.16
31	2020/11/4	2-49	5	8	8	5	8	8	4.16
32	2020/11/4	2-55	4	6	6	4	6	6	4.16
33	2020/11/4	3-0	4	6	8	4	6	8	4.16
34	2020/11/4	3-6	5	8	9	5	8	9	4.16
35	2020/11/4	3-11	4	6	6	4	6	6	4.16
36	2020/11/4	3-17	2	8	9	2	8	9	4.16
37	2020/11/4	3-22	5	8	9	5	8	9	4.16
38	2020/11/4	3-28	5	8	8	5	8	8	4.16
39	2020/11/4	3-33	4	8	8	4	8	8	4.16
40	2020/11/4	3-39	4	6	8	4	6	8	4.16
41	2020/11/4	3-44	5	6	6	5	6	6	4.16
42	2020/11/4	3-50	5	8	9	5	8	9	4.16
43	2020/11/4	3-55	5	8	12	5	8	12	4.16
44	2020/11/4	4-1	2	6	10	2	6	10	4.16
45	2020/11/4	4-6	5	8	9	5	8	9	4.16
46	2020/11/4	4-12	5	9	9	5	9	9	4.16
47	2020/11/4	4-17	5	8	8	5	8	8	4.16
48	2020/11/4	4-23	5	8	8	5	8	8	4.16
49	2020/11/4	4-28	5	9	9	5	9	9	4.16
50	2020/11/4	4-34	5	8	8	5	8	8	4.16
51	2020/11/4	4-39	5	9	9	5	9	9	4.16
52	2020/11/4	4-45	5	9	10	5	9	10	4.16
53	2020/11/4	4-50	5	8	8	5	8	8	4.16
54	2020/11/4	4-56	4	6	8	4	6	8	4.16
55	2020/11/4	5-1	4	8	10	4	8	10	4.16
56	2020/11/4	5-7	5	8	8	5	8	8	4.16
57	2020/11/4	5-12	6	9	9	6	9	9	4.16
58	2020/11/4	5-18	5	8	8	5	8	8	4.16
