数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
0	20-11-03	23-51	4	9	10	4	9	10	4.2
1	20-11-04	7-33	7	16	19	7	16	19	4.13
2	20-11-04	7-39	7	16	16	7	16	16	4.13
3	20-11-04	7-44	5	10	11	5	10	11	4.12
4	20-11-04	7-50	4	8	8	4	8	8	4.12
5	20-11-04	7-55	5	10	12	5	10	12	4.12
6	20-11-04	8-1	4	9	11	4	9	11	4.12
7	20-11-04	8-7	8	12	12	8	12	12	4.11
8	20-11-04	8-12	5	12	16	5	12	16	4.13
9	20-11-04	8-18	5	11	11	5	11	11	4.11
10	20-11-04	8-23	6	13	16	6	13	16	4.11
11	20-11-04	8-29	5	12	15	5	12	15	4.11
12	20-11-04	8-34	8	13	15	8	13	15	4.1
13	20-11-04	8-40	5	11	13	5	11	13	4.1
14	20-11-04	8-45	6	13	13	6	13	13	4.1
15	20-11-04	8-51	5	10	12	5	10	12	4.1
16	20-11-04	8-56	10	17	17	10	17	17	4.1
17	20-11-04	9-2	9	13	14	9	13	14	4.1
18	20-11-04	9-7	10	15	15	10	15	15	4.1
19	20-11-04	9-13	6	11	13	6	11	13	4.1
20	20-11-04	9-19	7	12	14	7	12	14	4.09
21	20-11-04	9-24	7	12	12	7	12	12	4.09
22	20-11-04	9-30	9	14	15	9	14	15	4.09
23	20-11-04	9-35	6	11	16	6	11	16	4.09
24	20-11-04	9-41	6	11	11	6	11	11	4.09
25	20-11-04	9-46	6	11	11	6	11	11	4.09
26	20-11-04	9-52	7	11	14	7	11	14	4.09
27	20-11-04	9-57	6	10	10	6	10	10	4.09
28	20-11-04	10-3	6	11	15	6	11	15	4.09
29	20-11-04	10-8	7	14	14	7	14	14	4.08
30	20-11-04	10-14	7	13	15	7	13	15	4.08
31	20-11-04	10-19	5	13	15	5	13	15	4.07
32	20-11-04	10-25	7	13	14	7	13	14	4.08
33	20-11-04	10-30	6	10	10	6	10	10	4.08
34	20-11-04	10-36	5	10	12	5	10	12	4.08
35	20-11-04	10-42	6	11	12	6	11	12	4.08
36	20-11-04	10-47	5	10	10	5	10	10	4.07
37	20-11-04	10-53	6	10	11	6	10	11	4.08
38	20-11-04	10-58	6	10	11	6	10	11	4.08
39	20-11-04	11-4	6	10	11	6	10	11	4.08
40	20-11-04	11-9	3	9	9	3	9	9	4.07
41	20-11-04	11-15	6	11	12	6	11	12	4.07
42	20-11-04	11-20	5	10	11	5	10	11	4.07
43	20-11-04	11-26	6	12	14	6	12	14	4.07
44	20-11-04	11-31	7	12	12	7	12	12	4.07
45	20-11-04	11-37	6	11	14	6	11	14	4.07
46	20-11-04	11-42	6	11	14	6	11	14	4.06
47	20-11-04	11-48	5	11	14	5	11	14	4.07
48	20-11-04	11-53	6	10	10	6	10	10	4.07
49	20-11-04	11-59	6	13	15	6	13	15	4.06
50	20-11-04	12-5	6	10	11	6	10	11	4.06
51	20-11-04	12-10	7	11	12	7	11	12	4.05
52	20-11-04	12-16	6	13	13	6	13	13	4.05
53	20-11-04	12-21	7	11	11	7	11	11	4.06
54	20-11-04	12-27	7	11	11	7	11	11	4.06
55	20-11-04	12-32	10	16	16	10	16	16	4.06
56	20-11-04	12-38	9	15	16	9	15	16	4.05
57	20-11-04	12-43	7	14	14	7	14	14	4.04
58	20-11-04	12-49	6	11	14	6	11	14	4.05
59	20-11-04	12-54	6	11	14	6	11	14	4.05
60	20-11-04	13-0	7	13	13	7	13	13	4.05
61	20-11-04	13-5	6	10	10	6	10	10	4.05
62	20-11-04	13-11	5	12	14	5	12	14	4.05
63	20-11-04	13-16	8	12	13	8	12	13	4.05
64	20-11-04	13-22	6	13	14	6	13	14	4.05
65	20-11-04	13-28	9	14	14	9	14	14	4.05
66	20-11-04	13-33	6	10	10	6	10	10	4.05
67	20-11-04	13-39	6	13	17	6	13	17	4.04
68	20-11-04	13-44	5	12	13	5	12	13	4.04
69	20-11-04	13-50	6	10	10	6	10	10	4.05
70	20-11-04	13-55	6	12	13	6	12	13	4.05
71	20-11-04	14-1	5	11	14	5	11	14	4.04
72	20-11-04	14-6	5	10	11	5	10	11	4.04
73	20-11-04	14-12	6	13	17	6	13	17	4.04
74	20-11-04	14-17	6	12	13	6	12	13	4.04
75	20-11-04	14-23	5	9	12	5	9	12	4.04
76	20-11-04	14-28	9	13	15	9	13	15	4.04
77	20-11-04	14-34	8	13	14	8	13	14	4.04
78	20-11-04	14-39	8	15	15	8	15	15	4.03
79	20-11-04	14-45	5	12	13	5	12	13	4.04
80	20-11-04	14-51	6	13	13	6	13	13	4.03
81	20-11-04	14-56	6	10	13	6	10	13	4.03
82	20-11-04	15-2	5	10	10	5	10	10	4.03
83	20-11-04	15-7	6	11	13	6	11	13	4.03
84	20-11-04	15-13	6	13	16	6	13	16	4.03
85	20-11-04	15-18	5	11	13	5	11	13	4.03
86	20-11-04	15-24	6	12	12	6	12	12	4.03
87	20-11-04	15-29	5	12	15	5	12	15	4.03
88	20-11-04	15-35	5	9	11	5	9	11	4.03
89	20-11-04	15-40	5	11	11	5	11	11	4.03
90	20-11-04	15-46	5	12	12	5	12	12	4.02
91	20-11-04	15-51	7	11	11	7	11	11	4.03
92	20-11-04	15-57	4	9	11	4	9	11	4.02
93	20-11-04	16-2	5	8	8	5	8	8	4.02
94	20-11-04	16-8	4	9	11	4	9	11	4.02
95	20-11-04	16-14	5	9	11	5	9	11	4.02
96	20-11-04	16-19	4	8	8	4	8	8	4.02
97	20-11-04	16-25	5	9	9	5	9	9	4.02
98	20-11-04	16-30	4	9	9	4	9	9	4.01
99	20-11-04	16-36	4	9	9	4	9	9	4.02
100	20-11-04	16-41	4	8	8	4	8	8	4.02
101	20-11-04	16-47	4	8	10	4	8	10	4.02
102	20-11-04	16-52	4	9	9	4	9	9	4.02
103	20-11-04	16-58	5	9	13	5	9	13	4.02
104	20-11-04	17-3	5	9	10	5	9	10	4.02
105	20-11-04	17-9	4	9	10	4	9	10	4.02
106	20-11-04	17-14	4	6	6	4	6	6	4.02
107	20-11-04	17-20	6	9	9	6	9	9	4.01
108	20-11-04	17-26	4	9	11	4	9	11	4.01
109	20-11-04	17-31	4	8	9	4	8	9	4.02
110	20-11-04	17-37	4	6	6	4	6	6	4.02
111	20-11-04	17-42	4	9	9	4	9	9	4.01
112	20-11-04	17-48	5	8	8	5	8	8	4.01
113	20-11-04	17-53	5	11	11	5	11	11	4.02
114	20-11-04	17-59	5	8	8	5	8	8	4.02
115	20-11-04	18-4	4	8	9	4	8	9	4.03
116	20-11-04	18-10	4	9	12	4	9	12	4.01
117	20-11-04	18-15	4	8	9	4	8	9	4.01
118	20-11-04	18-21	5	9	10	5	9	10	4.01
119	20-11-04	18-26	5	9	10	5	9	10	4.01
120	20-11-04	18-32	5	9	10	5	9	10	4.01
121	20-11-04	18-37	4	8	8	4	8	8	4.01
122	20-11-04	18-43	4	8	9	4	8	9	4.01
123	20-11-04	18-49	5	9	9	5	9	9	4.01
124	20-11-04	18-54	5	9	12	5	9	12	4.01
125	20-11-04	19-0	5	9	10	5	9	10	4
126	20-11-04	19-5	4	10	13	4	10	13	4.01
127	20-11-04	19-11	4	8	8	4	8	8	4
128	20-11-04	19-16	4	8	8	4	8	8	4
129	20-11-04	19-22	4	6	8	4	6	8	4.01
130	20-11-04	19-27	4	8	9	4	8	9	4.02
131	20-11-04	19-33	4	8	9	4	8	9	3.99
132	20-11-04	19-38	4	9	9	4	9	9	4.01
133	20-11-04	19-44	4	9	9	4	9	9	4
134	20-11-04	19-49	4	8	8	4	8	8	4
135	20-11-04	19-55	4	10	10	4	10	10	4.01
136	20-11-04	20-0	4	6	8	4	6	8	4
137	20-11-04	20-6	5	9	9	5	9	9	4.01
138	20-11-04	20-12	4	8	8	4	8	8	4
139	20-11-04	20-17	4	9	9	4	9	9	4
140	20-11-04	20-23	4	9	9	4	9	9	4
141	20-11-04	20-28	4	8	9	4	8	9	4
142	20-11-04	20-34	4	9	10	4	9	10	4
143	20-11-04	20-39	4	8	8	4	8	8	4
144	20-11-04	20-45	4	9	10	4	9	10	4
145	20-11-04	20-50	7	12	12	7	12	12	4
146	20-11-04	20-56	6	10	10	6	10	10	4
147	20-11-04	21-1	7	12	12	7	12	12	4
148	20-11-04	21-7	6	12	12	6	12	12	3.98
149	20-11-04	21-12	5	11	11	5	11	11	4
150	20-11-04	21-18	5	10	10	5	10	10	4
151	20-11-04	21-23	5	10	10	5	10	10	4
152	20-11-04	21-29	5	10	11	5	10	11	4
153	20-11-04	21-35	5	11	13	5	11	13	4
154	20-11-04	21-40	5	13	13	5	13	13	4
155	20-11-04	21-46	7	13	14	7	13	14	4
