数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-4	7-34	7	10	11	7	10	11	4.30	
1	20-11-4	7-45	5	9	9	5	9	9	4.17	
2	20-11-4	7-51	5	9	10	5	9	10	4.17	
3	20-11-4	7-56	8	12	14	8	12	14	4.17	
4	20-11-4	8-2	6	9	10	6	9	10	4.17	
5	20-11-4	8-7	6	11	13	6	11	13	4.16	
6	20-11-4	8-13	6	9	10	6	9	10	4.16	
7	20-11-4	8-19	6	11	11	6	11	11	4.16	
8	20-11-4	8-24	6	9	9	6	9	9	4.16	
9	20-11-4	8-30	7	11	11	7	11	11	4.16	
10	20-11-4	8-35	7	10	15	7	10	15	4.16	
11	20-11-4	8-41	9	11	13	9	11	13	4.16	
12	20-11-4	8-46	9	14	14	9	14	14	4.16	
13	20-11-4	8-52	7	11	12	7	11	12	4.15	
14	20-11-4	8-57	8	12	13	8	12	13	4.15	
15	20-11-4	9-3	8	12	14	8	12	14	4.15	
16	20-11-4	9-8	8	13	14	8	13	14	4.15	
17	20-11-4	9-14	7	9	11	7	9	11	4.15	
18	20-11-4	9-19	7	9	12	7	9	12	4.15	
19	20-11-4	9-25	7	11	12	7	11	12	4.15	
20	20-11-4	9-30	6	10	11	6	10	11	4.15	
21	20-11-4	9-36	6	8	9	6	8	9	4.14	
22	20-11-4	9-42	6	9	10	6	9	10	4.14	
23	20-11-4	9-47	6	8	9	6	8	9	4.14	
24	20-11-4	9-53	7	10	11	7	10	11	4.14	
25	20-11-4	9-58	5	8	9	5	8	9	4.14	
26	20-11-4	10-4	9	15	16	9	15	16	4.14	
27	20-11-4	10-9	11	16	17	11	16	17	4.14	
28	20-11-4	10-15	8	13	13	8	13	13	4.14	
29	20-11-4	10-20	8	11	13	8	11	13	4.14	
30	20-11-4	10-26	5	8	11	5	8	11	4.14	
31	20-11-4	10-31	6	9	9	6	9	9	4.14	
32	20-11-4	10-33	6	9	9	6	9	9	4.29	
33	20-11-4	10-38	6	9	9	6	9	9	4.28	
34	20-11-4	10-44	4	6	8	4	6	8	4.29	
35	20-11-4	10-49	4	8	8	4	8	8	4.29	
36	20-11-4	10-55	6	9	11	6	9	11	4.29	
37	20-11-4	11-0	5	8	10	5	8	10	4.29	
38	20-11-4	11-6	5	8	8	5	8	8	4.29	
39	20-11-4	11-11	7	10	11	7	10	11	4.29	
40	20-11-4	11-17	5	9	9	5	9	9	4.29	
41	20-11-4	11-22	5	8	8	5	8	8	4.29	
42	20-11-4	11-28	6	10	10	6	10	10	4.29	
43	20-11-4	11-33	6	9	9	6	9	9	4.25	
44	20-11-4	11-39	6	9	9	6	9	9	4.19	
45	20-11-4	11-44	6	10	10	6	10	10	4.19	
46	20-11-4	11-48	7	11	12	7	11	12	4.29	
47	20-11-4	11-54	5	7	8	5	7	8	4.29	
48	20-11-4	11-59	5	9	10	5	9	10	4.25	
49	20-11-4	12-5	7	10	10	7	10	10	4.25	
50	20-11-4	12-10	5	8	8	5	8	8	4.19	
51	20-11-4	12-16	5	7	9	5	7	9	4.19	
52	20-11-4	12-21	7	11	12	7	11	12	4.18	
53	20-11-4	12-27	7	9	11	7	9	11	4.18	
54	20-11-4	12-32	8	12	13	8	12	13	4.18	
55	20-11-4	12-38	7	11	11	7	11	11	4.18	
56	20-11-4	12-43	6	9	10	6	9	10	4.18	
57	20-11-4	12-49	6	8	8	6	8	8	4.17	
58	20-11-4	12-54	4	8	9	4	8	9	4.17	
59	20-11-4	13-0	5	7	9	5	7	9	4.17	
60	20-11-4	13-6	6	9	9	6	9	9	4.17	
61	20-11-4	13-11	7	10	10	7	10	10	4.17	
62	20-11-4	13-17	6	9	10	6	9	10	4.17	
63	20-11-4	13-22	5	7	7	5	7	7	4.17	
64	20-11-4	13-28	5	9	9	5	9	9	4.16	
65	20-11-4	13-33	5	9	10	5	9	10	4.16	
66	20-11-4	13-39	7	9	12	7	9	12	4.16	
67	20-11-4	13-44	6	10	14	6	10	14	4.16	
68	20-11-4	13-50	7	12	13	7	12	13	4.16	
69	20-11-4	13-55	4	7	8	4	7	8	4.15	
70	20-11-4	14-1	4	6	6	4	6	6	4.16	
71	20-11-4	14-6	5	8	8	5	8	8	4.16	
72	20-11-4	14-12	6	11	13	6	11	13	4.15	
73	20-11-4	14-17	9	13	15	9	13	15	4.15	
74	20-11-4	14-23	6	9	10	6	9	10	4.15	
75	20-11-4	14-29	6	9	9	6	9	9	4.15	
76	20-11-4	14-34	4	6	7	4	6	7	4.14	
77	20-11-4	14-40	5	8	8	5	8	8	4.14	
78	20-11-4	14-45	6	9	9	6	9	9	4.15	
79	20-11-4	14-51	6	7	9	6	7	9	4.14	
80	20-11-4	14-56	4	6	7	4	6	7	4.14	
81	20-11-4	15-2	4	8	9	4	8	9	4.14	
82	20-11-4	15-7	4	6	6	4	6	6	4.14	
83	20-11-4	15-13	4	5	6	4	5	6	4.14	
84	20-11-4	15-18	5	6	6	5	6	6	4.14	
85	20-11-4	15-24	5	8	8	5	8	8	4.13	
86	20-11-4	15-28	6	9	9	6	9	9	4.29	
87	20-11-4	15-34	6	10	11	6	10	11	4.29	
88	20-11-4	15-39	6	9	11	6	9	11	4.29	
89	20-11-4	15-45	4	7	9	4	7	9	4.29	
90	20-11-4	15-50	6	8	11	6	8	11	4.29	
91	20-11-4	15-56	6	10	11	6	10	11	4.29	
92	20-11-4	16-1	6	11	13	6	11	13	4.29	
93	20-11-4	16-7	5	7	8	5	7	8	4.29	
94	20-11-4	16-12	5	8	10	5	8	10	4.30	
95	20-11-4	16-18	6	9	11	6	9	11	4.29	
