数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	Column1
0	20-11-04	7-39	5	9	10	5	9	10	4.21	
1	20-11-04	7-45	6	10	10	6	10	10	4.15	
2	20-11-04	7-50	6	8	10	6	8	10	4.16	
3	20-11-04	7-56	6	8	8	6	8	8	4.15	
4	20-11-04	8-1	7	12	12	7	12	12	4.15	
5	20-11-04	8-7	8	13	13	8	13	13	4.15	
6	20-11-04	8-12	8	12	12	8	12	12	4.15	
7	20-11-04	8-18	7	12	13	7	12	13	4.15	
8	20-11-04	8-24	9	16	16	9	16	16	4.14	
9	20-11-04	8-29	8	13	13	8	13	13	4.14	
10	20-11-04	8-35	8	13	14	8	13	14	4.14	
11	20-11-04	8-40	8	12	14	8	12	14	4.14	
12	20-11-04	8-46	8	13	13	8	13	13	4.14	
13	20-11-04	8-51	8	10	13	8	10	13	4.14	
14	20-11-04	8-57	8	12	13	8	12	13	4.13	
15	20-11-04	9-2	8	12	13	8	12	13	4.14	
16	20-11-04	9-8	9	14	15	9	14	15	4.14	
17	20-11-04	9-13	7	10	10	7	10	10	4.14	
18	20-11-04	9-19	8	12	12	8	12	12	4.13	
19	20-11-04	9-24	8	11	14	8	11	14	4.13	
20	20-11-04	9-30	5	10	10	5	10	10	4.13	
21	20-11-04	9-35	5	11	11	5	11	11	4.12	
22	20-11-04	9-41	8	13	14	8	13	14	4.13	
23	20-11-04	9-47	7	10	12	7	10	12	4.12	
24	20-11-04	9-52	6	10	12	6	10	12	4.13	
25	20-11-04	9-58	7	12	12	7	12	12	4.13	
26	20-11-04	10-3	16	24	26	16	24	26	4.12	
27	20-11-04	10-9	12	16	18	12	16	18	4.12	
28	20-11-04	10-14	9	15	16	9	15	16	4.12	
29	20-11-04	10-20	9	11	11	9	11	11	4.12	
30	20-11-04	10-25	7	10	10	7	10	10	4.11	
31	20-11-04	10-31	7	10	11	7	10	11	4.12	
32	20-11-04	10-36	7	9	11	7	9	11	4.12	
33	20-11-04	10-42	5	9	10	5	9	10	4.11	
34	20-11-04	10-47	5	8	10	5	8	10	4.11	
35	20-11-04	10-53	7	9	11	7	9	11	4.11	
36	20-11-04	10-58	7	10	10	7	10	10	4.11	
37	20-11-04	11-4	7	10	10	7	10	10	4.11	
38	20-11-04	11-9	7	10	12	7	10	12	4.1	
39	20-11-04	11-15	5	9	9	5	9	9	4.11	
40	20-11-04	11-21	7	9	9	7	9	9	4.11	
41	20-11-04	11-26	8	11	12	8	11	12	4.1	
42	20-11-04	11-32	7	10	10	7	10	10	4.1	
43	20-11-04	11-37	7	10	10	7	10	10	4.11	
44	20-11-04	11-43	7	11	11	7	11	11	4.1	
45	20-11-04	11-48	8	11	12	8	11	12	4.1	
46	20-11-04	11-54	7	11	11	7	11	11	4.08	
47	20-11-04	11-59	8	10	10	8	10	10	4.1	
48	20-11-04	12-5	8	10	11	8	10	11	4.1	
49	20-11-04	12-10	8	11	11	8	11	11	4.1	
50	20-11-04	12-16	6	11	11	6	11	11	4.09	
51	20-11-04	12-21	6	11	11	6	11	11	4.1	
52	20-11-04	12-27	6	11	12	6	11	12	4.09	
53	20-11-04	12-32	9	12	12	9	12	12	4.09	
54	20-11-04	12-38	7	9	11	7	9	11	4.09	
55	20-11-04	12-44	7	11	11	7	11	11	4.09	
56	20-11-04	12-49	7	9	9	7	9	9	4.09	
57	20-11-04	12-55	8	13	15	8	13	15	4.09	
58	20-11-04	13-0	6	10	10	6	10	10	4.09	
59	20-11-04	13-6	5	8	8	5	8	8	4.09	
60	20-11-04	13-11	5	7	8	5	7	8	4.08	
61	20-11-04	13-17	7	10	10	7	10	10	4.08	
62	20-11-04	13-22	6	10	11	6	10	11	4.09	
63	20-11-04	13-28	8	13	13	8	13	13	4.08	
64	20-11-04	13-33	8	12	13	8	12	13	4.08	
65	20-11-04	13-39	10	15	16	10	15	16	4.08	
66	20-11-04	13-44	10	15	16	10	15	16	4.08	
67	20-11-04	13-50	7	11	11	7	11	11	4.08	
68	20-11-04	13-55	11	13	15	11	13	15	4.08	
69	20-11-04	14-1	8	12	13	8	12	13	4.08	
70	20-11-04	14-7	8	14	14	8	14	14	4.08	
71	20-11-04	14-12	8	12	12	8	12	12	4.08	
72	20-11-04	14-18	8	12	14	8	12	14	4.08	
73	20-11-04	14-23	8	11	11	8	11	11	4.07	
74	20-11-04	14-29	8	12	14	8	12	14	4.07	
75	20-11-04	14-34	8	14	15	8	14	15	4.06	
76	20-11-04	14-40	8	12	13	8	12	13	4.07	
77	20-11-04	14-45	7	10	10	7	10	10	4.08	
78	20-11-04	14-51	6	10	10	6	10	10	4.07	
79	20-11-04	14-56	6	10	10	6	10	10	4.07	
80	20-11-04	15-2	7	11	11	7	11	11	4.07	
81	20-11-04	15-7	6	11	11	6	11	11	4.07	
82	20-11-04	15-13	6	8	8	6	8	8	4.07	
83	20-11-04	15-18	8	11	12	8	11	12	4.07	
84	20-11-04	15-24	6	8	8	6	8	8	4.07	
85	20-11-04	15-30	6	8	8	6	8	8	4.06	
86	20-11-04	15-35	6	8	8	6	8	8	4.06	
87	20-11-04	15-41	6	11	11	6	11	11	4.07	
88	20-11-04	15-46	6	8	8	6	8	8	4.06	
89	20-11-04	15-52	4	9	9	4	9	9	4.06	
90	20-11-04	15-57	6	11	11	6	11	11	4.06	
91	20-11-04	16-3	7	12	12	7	12	12	4.05	
92	20-11-04	16-8	6	8	8	6	8	8	4.06	
93	20-11-04	16-14	6	8	11	6	8	11	4.06	
94	20-11-04	16-19	6	8	11	6	8	11	4.06	
95	20-11-04	16-25	6	9	9	6	9	9	4.05	
96	20-11-04	16-30	7	9	11	7	9	11	4.06	
97	20-11-04	16-36	6	8	9	6	8	9	4.06	
98	20-11-04	16-41	4	9	9	4	9	9	4.06	
99	20-11-04	16-47	3	6	6	3	6	6	4.05	
100	20-11-04	16-53	5	8	8	5	8	8	4.05	
101	20-11-04	16-58	4	7	8	4	7	8	4.05	
102	20-11-04	17-4	3	5	5	3	5	5	4.05	
103	20-11-04	17-9	5	7	7	5	7	7	4.05	
104	20-11-04	17-15	3	5	7	3	5	7	4.05	
105	20-11-04	17-20	4	7	7	4	7	7	4.05	
106	20-11-04	17-26	4	7	8	4	7	8	4.05	
