数据排序	年月日	时分	PM1.0标	PM2.5标	PM10标	PM1.0气	PM2.5气	PM10气	电压
0	20-11-4	8-50	8	13	14	8	13	14	4.20
1	20-11-4	8-54	9	13	14	9	13	14	4.19
2	20-11-4	8-59	10	13	16	10	13	16	4.19
3	20-11-4	9-5	8	11	11	8	11	11	4.20
4	20-11-4	9-10	9	12	12	9	12	12	4.19
5	20-11-4	9-16	8	10	11	8	10	11	4.18
6	20-11-4	9-22	8	9	10	8	9	10	4.18
7	20-11-4	9-27	7	10	11	7	10	11	4.17
8	20-11-4	9-33	7	9	10	7	9	10	4.18
9	20-11-4	9-38	7	9	10	7	9	10	4.17
10	20-11-4	9-44	7	8	9	7	8	9	4.18
11	20-11-4	9-49	7	9	9	7	9	9	4.17
12	20-11-4	9-55	7	9	11	7	9	11	4.17
13	20-11-4	10-0	11	16	18	11	16	18	4.17
14	20-11-4	10-6	12	16	18	12	16	18	4.19
15	20-11-4	10-11	10	14	15	10	14	15	4.17
16	20-11-4	10-17	8	10	11	8	10	11	4.17
17	20-11-4	10-22	8	10	11	8	10	11	4.17
18	20-11-4	10-28	8	11	12	8	11	12	4.17
19	20-11-4	10-33	7	9	9	7	9	9	4.16
20	20-11-4	10-39	7	10	12	7	10	12	4.16
21	20-11-4	10-45	0	0	0	0	0	0	4.15
22	20-11-4	10-50	1	3	3	1	3	3	4.16
23	20-11-4	10-56	0	0	0	0	0	0	4.15
24	20-11-4	11-2	0	0	0	0	0	0	4.14
25	20-11-4	11-7	6	9	10	6	9	10	4.15
26	20-11-4	11-13	4	6	7	4	6	7	4.15
27	20-11-4	11-18	5	7	7	5	7	7	4.16
28	20-11-4	11-24	7	10	11	7	10	11	4.15
29	20-11-4	11-29	6	8	10	6	8	10	4.15
30	20-11-4	11-35	7	8	10	7	8	10	4.15
31	20-11-4	11-40	6	8	8	6	8	8	4.15
32	20-11-4	11-46	6	8	9	6	8	9	4.15
33	20-11-4	11-51	6	8	10	6	8	10	4.15
34	20-11-4	11-57	7	8	9	7	8	9	4.15
35	20-11-4	12-2	5	8	8	5	8	8	4.15
36	20-11-4	12-8	5	7	8	5	7	8	4.14
37	20-11-4	12-13	6	8	8	6	8	8	4.14
38	20-11-4	12-19	6	8	8	6	8	8	4.14
39	20-11-4	12-25	7	9	9	7	9	9	4.14
40	20-11-4	12-30	7	8	9	7	8	9	4.14
41	20-11-4	12-36	6	8	9	6	8	9	4.14
42	20-11-4	12-41	6	8	9	6	8	9	4.14
43	20-11-4	12-47	7	9	9	7	9	9	4.14
44	20-11-4	12-52	7	9	10	7	9	10	4.14
45	20-11-4	12-58	6	8	10	6	8	10	4.13
46	20-11-4	13-3	6	7	7	6	7	7	4.14
47	20-11-4	13-9	6	8	10	6	8	10	4.13
48	20-11-4	13-14	6	8	10	6	8	10	4.12
49	20-11-4	13-20	8	11	14	8	11	14	4.13
50	20-11-4	13-25	7	9	9	7	9	9	4.13
51	20-11-4	13-31	6	9	12	6	9	12	4.13
52	20-11-4	13-36	7	9	9	7	9	9	4.13
53	20-11-4	13-42	6	9	10	6	9	10	4.13
54	20-11-4	13-48	8	10	11	8	10	11	4.13
55	20-11-4	13-53	9	11	11	9	11	11	4.12
56	20-11-4	13-59	7	10	10	7	10	10	4.13
57	20-11-4	14-4	6	8	9	6	8	9	4.13
58	20-11-4	14-10	8	9	10	8	9	10	4.12
59	20-11-4	14-15	7	9	10	7	9	10	4.12
60	20-11-4	14-21	7	10	11	7	10	11	4.12
61	20-11-4	14-26	6	8	8	6	8	8	4.11
62	20-11-4	14-32	7	10	11	7	10	11	4.12
63	20-11-4	14-37	7	9	9	7	9	9	4.12
64	20-11-4	14-43	7	10	11	7	10	11	4.12
65	20-11-4	14-48	7	9	10	7	9	10	4.11
66	20-11-4	14-54	7	10	11	7	10	11	4.12
67	20-11-4	14-59	7	9	10	7	9	10	4.12
68	20-11-4	15-5	6	8	9	6	8	9	4.11
69	20-11-4	15-11	6	8	9	6	8	9	4.11
70	20-11-4	15-16	6	8	8	6	8	8	4.11
71	20-11-4	15-22	4	6	6	4	6	6	4.12
72	20-11-4	15-27	5	7	8	5	7	8	4.11
73	20-11-4	15-33	5	8	8	5	8	8	4.11
74	20-11-4	15-38	6	7	7	6	7	7	4.11
75	20-11-4	15-44	5	7	8	5	7	8	4.10
76	20-11-4	15-49	6	7	8	6	7	8	4.11
77	20-11-4	15-55	6	8	9	6	8	9	4.11
78	20-11-4	16-0	5	7	8	5	7	8	4.10
79	20-11-4	16-6	6	7	8	6	7	8	4.10
80	20-11-4	16-11	5	7	7	5	7	7	4.10
81	20-11-4	16-17	5	7	7	5	7	7	4.10
82	20-11-4	16-23	5	7	8	5	7	8	4.10
83	20-11-4	16-28	6	9	11	6	9	11	4.10
84	20-11-4	16-34	6	8	8	6	8	8	4.10
85	20-11-4	16-39	6	7	8	6	7	8	4.10
86	20-11-4	16-45	6	9	10	6	9	10	4.10
87	20-11-4	16-50	6	9	9	6	9	9	4.10
88	20-11-4	16-56	6	8	9	6	8	9	4.09
89	20-11-4	17-1	6	9	10	6	9	10	4.09
90	20-11-4	17-7	5	7	7	5	7	7	4.09
91	20-11-4	17-12	6	8	9	6	8	9	4.09
92	20-11-4	17-18	7	9	9	7	9	9	4.09
93	20-11-4	17-23	6	8	8	6	8	8	4.09
94	20-11-4	17-29	7	9	11	7	9	11	4.10
95	20-11-4	17-34	5	7	8	5	7	8	4.09
96	20-11-4	17-40	5	8	8	5	8	8	4.09
97	20-11-4	17-46	7	11	11	7	11	11	4.09
98	20-11-4	17-51	6	9	9	6	9	9	4.08
99	20-11-4	17-57	6	8	11	6	8	11	4.09
100	20-11-4	18-2	6	7	7	6	7	7	4.09
101	20-11-4	18-8	6	7	9	6	7	9	4.09
102	20-11-4	18-13	6	8	9	6	8	9	4.09
103	20-11-4	18-19	6	9	10	6	9	10	4.08
104	20-11-4	18-24	6	8	8	6	8	8	4.08
105	20-11-4	18-30	6	8	9	6	8	9	4.08
106	20-11-4	18-35	6	8	8	6	8	8	4.08
107	20-11-4	18-41	5	7	7	5	7	7	4.08
108	20-11-4	18-46	6	8	8	6	8	8	4.08
109	20-11-4	18-52	7	9	9	7	9	9	4.08
110	20-11-4	18-57	6	8	9	6	8	9	4.08
111	20-11-4	19-3	6	8	10	6	8	10	4.08
112	20-11-4	19-9	6	8	8	6	8	8	4.08
113	20-11-4	19-14	6	9	10	6	9	10	4.08
114	20-11-4	19-20	7	9	13	7	9	13	4.09
115	20-11-4	19-25	6	8	8	6	8	8	4.08
116	20-11-4	19-31	5	6	6	5	6	6	4.07
117	20-11-4	19-36	5	8	8	5	8	8	4.08
118	20-11-4	19-42	5	7	8	5	7	8	4.08
119	20-11-4	19-47	5	7	7	5	7	7	4.07
120	20-11-4	19-53	4	6	6	4	6	6	4.08
121	20-11-4	19-58	4	6	7	4	6	7	4.07
122	20-11-4	20-4	5	7	8	5	7	8	4.07
123	20-11-4	20-9	4	6	8	4	6	8	4.07
124	20-11-4	20-15	5	6	6	5	6	6	4.07
125	20-11-4	20-20	5	8	8	5	8	8	4.07
126	20-11-4	20-26	4	6	6	4	6	6	4.07
127	20-11-4	20-32	5	7	7	5	7	7	4.06
128	20-11-4	20-37	5	6	7	5	6	7	4.06
129	20-11-4	20-43	4	6	6	4	6	6	4.06
130	20-11-4	20-48	4	5	5	4	5	5	4.06
131	20-11-4	20-54	5	6	7	5	6	7	4.06
132	20-11-4	20-59	5	7	7	5	7	7	4.07
133	20-11-4	21-5	4	6	6	4	6	6	4.07
134	20-11-4	21-10	5	7	7	5	7	7	4.06
135	20-11-4	21-16	5	8	8	5	8	8	4.06
136	20-11-4	21-21	4	6	7	4	6	7	4.06
137	20-11-4	21-27	4	7	8	4	7	8	4.06
138	20-11-4	21-32	6	10	10	6	10	10	4.06
139	20-11-4	21-38	6	8	8	6	8	8	4.06
140	20-11-4	21-44	6	8	8	6	8	8	4.06
141	20-11-4	21-49	7	9	10	7	9	10	4.06
142	20-11-4	21-55	6	8	9	6	8	9	4.06
143	20-11-4	22-0	6	7	8	6	7	8	4.06
144	20-11-4	22-6	5	7	8	5	7	8	4.06
145	20-11-4	22-11	6	8	9	6	8	9	4.05
146	20-11-4	22-17	7	9	10	7	9	10	4.05
147	20-11-4	22-22	7	9	10	7	9	10	4.06
