数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	2020/11/3	23-7	4	8	9	4	8	9	4.19
1	2020/11/3	23-12	3	7	10	3	7	10	4.22
2	2020/11/3	23-18	3	7	9	3	7	9	4.2
3	2020/11/3	23-23	3	7	10	3	7	10	4.2
4	2020/11/3	23-29	3	6	7	3	6	7	4.2
5	2020/11/3	23-34	3	7	8	3	7	8	4.2
6	2020/11/3	23-40	5	8	10	5	8	10	4.2
7	2020/11/3	23-45	3	6	6	3	6	6	4.2
8	2020/11/3	23-51	6	8	8	6	8	8	4.2
9	2020/11/3	23-56	5	8	8	5	8	8	4.19
10	2020/11/4	0-2	3	7	8	3	7	8	4.19
11	2020/11/4	0-7	5	10	17	5	10	17	4.19
12	2020/11/4	0-13	5	8	8	5	8	8	4.19
13	2020/11/4	0-18	3	7	7	3	7	7	4.19
14	2020/11/4	0-24	6	10	10	6	10	10	4.19
15	2020/11/4	0-29	3	7	7	3	7	7	4.19
16	2020/11/4	0-35	5	10	11	5	10	11	4.19
17	2020/11/4	0-40	3	7	8	3	7	8	4.19
18	2020/11/4	0-46	6	8	8	6	8	8	4.19
19	2020/11/4	0-51	3	6	8	3	6	8	4.19
20	2020/11/4	0-57	3	7	7	3	7	7	4.19
21	2020/11/4	1-2	3	7	8	3	7	8	4.19
22	2020/11/4	1-8	4	8	9	4	8	9	4.19
23	2020/11/4	1-13	4	11	13	4	11	13	4.19
24	2020/11/4	1-19	6	9	12	6	9	12	4.19
25	2020/11/4	1-24	6	12	13	6	12	13	4.19
26	2020/11/4	1-30	4	8	9	4	8	9	4.19
27	2020/11/4	1-35	4	9	11	4	9	11	4.19
28	2020/11/4	1-41	6	9	9	6	9	9	4.19
29	2020/11/4	1-46	4	9	12	4	9	12	4.19
30	2020/11/4	1-52	6	9	12	6	9	12	4.19
31	2020/11/4	1-57	4	8	9	4	8	9	4.19
32	2020/11/4	2-3	4	9	11	4	9	11	4.19
33	2020/11/4	2-8	4	8	9	4	8	9	4.19
34	2020/11/4	2-14	4	8	8	4	8	8	4.19
35	2020/11/4	2-19	4	8	8	4	8	8	4.19
36	2020/11/4	2-25	4	8	9	4	8	9	4.19
37	2020/11/4	2-30	4	8	8	4	8	8	4.19
38	2020/11/4	2-36	4	8	11	4	8	11	4.19
39	2020/11/4	2-41	3	8	8	3	8	8	4.19
40	2020/11/4	2-47	4	7	7	4	7	7	4.19
41	2020/11/4	2-52	6	9	9	6	9	9	4.19
42	2020/11/4	2-58	4	9	11	4	9	11	4.19
43	2020/11/4	3-3	4	8	8	4	8	8	4.19
44	2020/11/4	3-9	5	8	11	5	8	11	4.19
45	2020/11/4	3-14	5	8	10	5	8	10	4.19
46	2020/11/4	3-20	6	10	11	6	10	11	4.19
47	2020/11/4	3-25	5	8	8	5	8	8	4.19
48	2020/11/4	3-31	5	10	10	5	10	10	4.19
49	2020/11/4	3-36	5	7	10	5	7	10	4.19
50	2020/11/4	3-42	5	10	11	5	10	11	4.19
51	2020/11/4	3-47	6	8	8	6	8	8	4.19
52	2020/11/4	3-53	6	11	12	6	11	12	4.19
53	2020/11/4	3-58	5	7	8	5	7	8	4.19
54	2020/11/4	4-4	5	7	10	5	7	10	4.19
55	2020/11/4	4-9	5	8	10	5	8	10	4.19
56	2020/11/4	4-15	6	10	10	6	10	10	4.19
57	2020/11/4	4-20	5	8	8	5	8	8	4.19
58	2020/11/4	4-26	5	8	11	5	8	11	4.19
59	2020/11/4	4-31	5	8	8	5	8	8	4.19
60	2020/11/4	4-37	5	10	10	5	10	10	4.19
61	2020/11/4	4-42	5	10	12	5	10	12	4.19
62	2020/11/4	4-48	8	11	11	8	11	11	4.19
63	2020/11/4	4-53	6	8	8	6	8	8	4.19
64	2020/11/4	4-59	6	10	11	6	10	11	4.19
65	2020/11/4	5-4	7	10	11	7	10	11	4.19
66	2020/11/4	5-10	6	10	10	6	10	10	4.19
67	2020/11/4	5-15	7	11	11	7	11	11	4.19
68	2020/11/4	5-21	6	10	11	6	10	11	4.19
69	2020/11/4	5-26	5	8	8	5	8	8	4.19
70	2020/11/4	5-32	6	10	12	6	10	12	4.19
71	2020/11/4	5-37	6	10	12	6	10	12	4.19
72	2020/11/4	5-43	6	8	8	6	8	8	4.19
73	2020/11/4	5-48	7	11	12	7	11	12	4.19
74	2020/11/4	5-54	7	10	14	7	10	14	4.19
75	2020/11/4	5-59	6	11	14	6	11	14	4.19
76	2020/11/4	6-5	7	11	11	7	11	11	4.19
77	2020/11/4	6-11	7	12	12	7	12	12	4.19
78	2020/11/4	6-16	7	11	15	7	11	15	4.19
79	2020/11/4	6-22	7	12	12	7	12	12	4.19
80	2020/11/4	6-27	7	12	14	7	12	14	4.19
81	2020/11/4	6-33	8	14	15	8	14	15	4.19
82	2020/11/4	6-38	8	14	15	8	14	15	4.19
83	2020/11/4	6-44	8	11	11	8	11	11	4.19
84	2020/11/4	6-49	8	12	12	8	12	12	4.19
85	2020/11/4	6-55	11	17	20	11	17	20	4.19
86	2020/11/4	7-0	8	14	16	8	14	16	4.19
87	2020/11/4	7-6	8	14	14	8	14	14	4.19
88	2020/11/4	7-11	8	14	17	8	14	17	4.19
89	2020/11/4	7-17	8	12	15	8	12	15	4.19
90	2020/11/4	7-22	7	11	13	7	11	13	4.19
91	2020/11/4	7-28	8	13	13	8	13	13	4.14
92	2020/11/4	7-31	17	25	29	17	25	29	4.16
93	2020/11/4	7-42	8	13	14	8	13	14	4.16
94	2020/11/4	7-52	8	15	16	8	15	16	4.15
95	2020/11/4	8-3	8	12	12	8	12	12	4.15
96	2020/11/4	8-13	8	13	13	8	13	13	4.15
97	2020/11/4	8-24	9	14	15	9	14	15	4.14
98	2020/11/4	8-34	10	14	15	10	14	15	4.14
99	2020/11/4	8-45	10	14	16	10	14	16	4.14
100	2020/11/4	8-55	10	14	17	10	14	17	4.14
101	2020/11/4	9-6	10	14	16	10	14	16	4.13
102	2020/11/4	9-16	7	11	12	7	11	12	4.13
103	2020/11/4	9-27	8	12	13	8	12	13	4.12
104	2020/11/4	9-38	7	11	13	7	11	13	4.12
105	2020/11/4	9-40	8	12	12	8	12	12	4.13
106	2020/11/4	9-51	8	11	11	8	11	11	4.12
107	2020/11/4	10-1	7	11	14	7	11	14	4.11
108	2020/11/4	10-12	10	16	20	10	16	20	4.11
109	2020/11/4	10-22	10	16	16	10	16	16	4.11
110	2020/11/4	10-33	6	10	11	6	10	11	4.11
111	2020/11/4	10-43	8	11	11	8	11	11	4.1
112	2020/11/4	10-54	7	11	11	7	11	11	4.11
113	2020/11/4	11-4	7	11	15	7	11	15	4.1
114	2020/11/4	11-15	7	11	12	7	11	12	4.1
115	2020/11/4	11-25	9	11	11	9	11	11	4.09
116	2020/11/4	11-36	9	13	14	9	13	14	4.1
117	2020/11/4	11-40	6	11	13	6	11	13	4.09
118	2020/11/4	11-50	6	12	13	6	12	13	4.09
119	2020/11/4	12-1	8	13	16	8	13	16	4.09
120	2020/11/4	12-11	9	13	16	9	13	16	4.09
121	2020/11/4	12-22	7	13	16	7	13	16	4.08
122	2020/11/4	12-32	11	16	18	11	16	18	4.08
123	2020/11/4	12-43	11	15	15	11	15	15	4.08
124	2020/11/4	12-53	9	12	15	9	12	15	4.08
125	2020/11/4	13-4	10	14	17	10	14	17	4.07
126	2020/11/4	13-14	11	16	17	11	16	17	4.06
127	2020/11/4	13-21	10	15	15	10	15	15	4.07
128	2020/11/4	13-31	9	14	14	9	14	14	4.07
129	2020/11/4	13-42	11	17	18	11	17	18	4.07
130	2020/11/4	13-52	10	14	15	10	14	15	4.07
131	2020/11/4	14-3	9	13	13	9	13	13	4.06
132	2020/11/4	14-13	10	17	19	10	17	19	4.27
133	2020/11/4	14-18	10	15	20	10	15	20	4.23
134	2020/11/4	14-24	11	18	22	11	18	22	4.23
135	2020/11/4	14-29	9	13	13	9	13	13	4.2
136	2020/11/4	14-35	10	14	14	10	14	14	4.2
137	2020/11/4	14-40	9	15	17	9	15	17	4.21
138	2020/11/4	14-46	9	14	17	9	14	17	4.21
139	2020/11/4	14-51	10	17	18	10	17	18	4.21
140	2020/11/4	14-57	10	14	19	10	14	19	4.21
141	2020/11/4	15-2	10	16	19	10	16	19	4.21
142	2020/11/4	15-8	10	12	12	10	12	12	4.2
143	2020/11/4	15-14	9	14	14	9	14	14	4.2
144	2020/11/4	15-19	9	11	12	9	11	12	4.2
145	2020/11/4	15-25	7	12	15	7	12	15	4.19
146	2020/11/4	15-30	9	12	14	9	12	14	4.19
147	2020/11/4	15-36	9	15	18	9	15	18	4.19
148	2020/11/4	15-41	7	11	11	7	11	11	4.19
149	2020/11/4	15-47	7	13	16	7	13	16	4.19
150	2020/11/4	15-52	7	13	15	7	13	15	4.19
151	2020/11/4	15-58	7	13	15	7	13	15	4.19
152	2020/11/4	16-3	7	11	11	7	11	11	4.19
153	2020/11/4	16-9	9	13	13	9	13	13	4.19
154	2020/11/4	16-14	6	10	16	6	10	16	4.19
155	2020/11/4	16-20	6	10	11	6	10	11	4.19
156	2020/11/4	16-25	9	13	14	9	13	14	4.19
157	2020/11/4	16-31	6	10	11	6	10	11	4.19
158	2020/11/4	16-36	7	13	14	7	13	14	4.19
159	2020/11/4	16-42	7	13	14	7	13	14	4.19
160	2020/11/4	16-47	7	13	13	7	13	13	4.19
161	2020/11/4	16-53	7	10	10	7	10	10	4.19
162	2020/11/4	16-58	6	9	11	6	9	11	4.19
163	2020/11/4	17-4	7	11	11	7	11	11	4.19
164	2020/11/4	17-9	6	10	11	6	10	11	4.19
165	2020/11/4	17-15	6	10	11	6	10	11	4.19
166	2020/11/4	17-20	7	10	10	7	10	10	4.19
167	2020/11/4	17-26	6	10	11	6	10	11	4.19
168	2020/11/4	17-31	6	10	10	6	10	10	4.19
169	2020/11/4	17-37	7	11	11	7	11	11	4.19
170	2020/11/4	17-42	6	9	10	6	9	10	4.19
171	2020/11/4	17-48	6	9	10	6	9	10	4.19
172	2020/11/4	17-53	6	9	10	6	9	10	4.19
173	2020/11/4	17-59	7	14	14	7	14	14	4.19
174	2020/11/4	18-4	6	9	10	6	9	10	4.19
175	2020/11/4	18-10	6	10	10	6	10	10	4.19
176	2020/11/4	18-50	5	9	12	5	9	12	4.16
