pm1,pm25,pm10,subject,datetime
2,5,7,A1,2020-11-03T16:03:00Z
2,5,7,A1,2020-11-03T16:08:00Z
2,5,5,A1,2020-11-03T16:14:00Z
2,5,7,A1,2020-11-03T16:19:00Z
2,5,5,A1,2020-11-03T16:25:00Z
4,5,5,A1,2020-11-03T16:30:00Z
2,4,7,A1,2020-11-03T16:36:00Z
4,7,10,A1,2020-11-03T16:41:00Z
2,5,5,A1,2020-11-03T16:47:00Z
4,7,7,A1,2020-11-03T16:52:00Z
2,5,5,A1,2020-11-03T16:58:00Z
2,5,5,A1,2020-11-03T17:03:00Z
4,7,7,A1,2020-11-03T17:09:00Z
4,7,7,A1,2020-11-03T17:14:00Z
4,8,8,A1,2020-11-03T17:20:00Z
5,7,8,A1,2020-11-03T17:25:00Z
4,8,10,A1,2020-11-03T17:31:00Z
5,8,8,A1,2020-11-03T17:36:00Z
4,7,7,A1,2020-11-03T17:42:00Z
4,5,7,A1,2020-11-03T17:47:00Z
2,7,7,A1,2020-11-03T17:53:00Z
4,5,5,A1,2020-11-03T17:58:00Z
4,5,5,A1,2020-11-03T18:04:00Z
4,7,7,A1,2020-11-03T18:09:00Z
4,7,7,A1,2020-11-03T18:15:00Z
2,5,7,A1,2020-11-03T18:20:00Z
5,8,10,A1,2020-11-03T18:26:00Z
4,5,7,A1,2020-11-03T18:31:00Z
4,7,7,A1,2020-11-03T18:37:00Z
2,5,5,A1,2020-11-03T18:42:00Z
4,5,7,A1,2020-11-03T18:48:00Z
2,5,5,A1,2020-11-03T18:53:00Z
4,7,7,A1,2020-11-03T18:59:00Z
2,5,5,A1,2020-11-03T19:04:00Z
4,8,8,A1,2020-11-03T19:10:00Z
4,8,10,A1,2020-11-03T19:15:00Z
4,7,7,A1,2020-11-03T19:21:00Z
4,5,5,A1,2020-11-03T19:27:00Z
4,7,7,A1,2020-11-03T19:32:00Z
4,5,7,A1,2020-11-03T19:38:00Z
2,7,7,A1,2020-11-03T19:43:00Z
4,5,5,A1,2020-11-03T19:49:00Z
4,7,8,A1,2020-11-03T19:54:00Z
4,7,7,A1,2020-11-03T20:00:00Z
4,5,8,A1,2020-11-03T20:05:00Z
7,10,11,A1,2020-11-03T20:11:00Z
5,8,8,A1,2020-11-03T20:16:00Z
2,7,10,A1,2020-11-03T20:22:00Z
4,5,5,A1,2020-11-03T20:27:00Z
4,7,7,A1,2020-11-03T20:33:00Z
4,7,8,A1,2020-11-03T20:38:00Z
4,8,8,A1,2020-11-03T20:44:00Z
4,5,5,A1,2020-11-03T20:49:00Z
4,7,8,A1,2020-11-03T20:55:00Z
4,7,7,A1,2020-11-03T21:00:00Z
4,7,8,A1,2020-11-03T21:06:00Z
4,7,8,A1,2020-11-03T21:11:00Z
4,7,7,A1,2020-11-03T21:17:00Z
5,8,8,A1,2020-11-03T21:22:00Z
4,7,7,A1,2020-11-03T21:28:00Z
5,8,10,A1,2020-11-03T21:33:00Z
4,5,5,A1,2020-11-03T21:39:00Z
4,7,7,A1,2020-11-03T21:44:00Z
5,7,8,A1,2020-11-03T21:50:00Z
4,8,8,A1,2020-11-03T21:55:00Z
5,8,10,A1,2020-11-03T22:01:00Z
5,10,12,A1,2020-11-03T22:06:00Z
5,8,8,A1,2020-11-03T22:12:00Z
5,10,11,A1,2020-11-03T22:17:00Z
5,7,7,A1,2020-11-03T22:23:00Z
5,7,7,A1,2020-11-03T22:28:00Z
7,11,11,A1,2020-11-03T22:34:00Z
5,8,8,A1,2020-11-03T22:39:00Z
5,10,12,A1,2020-11-03T22:45:00Z
7,10,11,A1,2020-11-03T22:50:00Z
7,8,10,A1,2020-11-03T22:56:00Z
5,10,12,A1,2020-11-03T23:01:00Z
8,11,11,A1,2020-11-03T23:07:00Z
7,12,12,A1,2020-11-03T23:12:00Z
7,11,14,A1,2020-11-03T23:18:00Z
8,12,12,A1,2020-11-03T23:23:00Z
8,11,14,A1,2020-11-03T23:29:00Z
8,12,14,A1,2020-11-03T23:34:00Z
8,13,13,A1,2020-11-03T23:40:00Z
7,10,10,A1,2020-11-03T23:45:00Z
7,8,8,A1,2020-11-03T23:51:00Z
7,10,10,A1,2020-11-03T23:56:00Z
8,13,13,A1,2020-11-04T00:02:00Z
5,8,10,A1,2020-11-04T00:07:00Z
10,13,14,A1,2020-11-04T00:13:00Z
8,13,13,A1,2020-11-04T00:18:00Z
10,13,13,A1,2020-11-04T00:24:00Z
10,13,14,A1,2020-11-04T00:29:00Z
10,16,16,A1,2020-11-04T00:35:00Z
10,14,16,A1,2020-11-04T00:40:00Z
8,11,11,A1,2020-11-04T00:46:00Z
8,11,13,A1,2020-11-04T00:51:00Z
